id_contrato,data_contratacao,nome_produto,valor_emprestimo,quantidade_parcelas,prazo_dias,taxa_juros_anual,valor_parcela,score_cliente,idade_cliente,renda_mensal,parcela_sobre_renda
1,2025-09-05 22:59:32.226633,Crédito Rotativo,19878.05,24,720,14.99,963.73,573,46,8198.21,11.76
2,2025-11-14 22:59:32.226633,Empréstimo com Garantia,11960.78,12,360,13.84,1073.02,520,31,3116.73,34.43
3,2025-03-19 22:59:32.226633,Empréstimo com Garantia,22429.91,48,1440,17.52,653.27,604,44,1137.73,57.42
4,2024-08-23 22:59:32.226633,Empréstimo Consignado,45180.64,48,1440,11.733993672139873,1183.89,668,58,4362.58,27.14
5,2025-09-04 22:59:32.226633,Empréstimo com Garantia,11077.57,12,360,8.0,963.62,710,49,4080.92,23.61
6,2026-01-06 22:59:32.226633,Empréstimo com Garantia,11077.71,72,2160,16.7,244.59,594,37,3714.82,6.58
7,2026-08-20 22:59:32.226633,Crédito Rotativo,47257.67,12,360,15.02,4265.84,609,45,4535.78,94.05
8,2025-04-29 22:59:32.226633,Financiamento Imóvel,48503.95,240,7200,20.22,832.38,557,39,5913.47,14.08
9,2024-01-28 22:59:32.226633,Empréstimo Consignado,9176.68,48,1440,9.358215434987677,229.93,647,42,4424.52,5.2
10,2025-03-17 22:59:32.226633,Empréstimo Pessoal,20620.64,60,1800,12.94,468.55,565,38,2028.79,23.1
11,2024-03-02 22:59:32.226633,Empréstimo com Garantia,9221.25,48,1440,12.26,244.01,707,40,6907.27,3.53
12,2025-10-29 22:59:32.226633,Empréstimo com Garantia,9204.21,60,1800,14.6,217.04,471,45,1255.69,17.28
13,2025-11-08 22:59:32.226633,Empréstimo Pessoal,16213.02,24,720,21.1,833.91,614,30,1169.99,71.27
14,2024-08-17 22:59:32.226633,Financiamento Veículo,2891.05,60,1800,14.51,68.04,680,30,8245.53,0.83
15,2024-05-30 22:59:32.226633,Financiamento Imóvel,59656.82,300,9000,24.15,1203.64,668,25,7008.75,17.17
16,2025-09-08 22:59:32.226633,Financiamento Imóvel,34090.14,240,7200,10.7,344.94,850,23,4721.22,7.31
17,2026-04-01 22:59:32.226633,Empréstimo Pessoal,5941.61,36,1080,10.76,193.85,685,27,1850.45,10.48
18,2026-08-02 22:59:32.226633,Financiamento Veículo,17178.22,60,1800,10.0,364.99,550,44,2994.29,12.19
19,2026-08-07 22:59:32.226633,Crédito Rotativo,6461.27,36,1080,8.2,203.07,640,31,4089.09,4.97
20,2025-05-08 22:59:32.226633,Empréstimo com Garantia,4316.31,48,1440,11.56,112.73,472,48,1608.21,7.01
21,2024-02-20 22:59:32.226633,Empréstimo com Garantia,43153.51,36,1080,16.5,1527.82,642,42,2929.77,52.15
22,2024-11-11 22:59:32.226633,Financiamento Veículo,11152.05,48,1440,19.2,334.63,567,18,7759.17,4.31
23,2025-11-27 22:59:32.226633,Empréstimo com Garantia,14101.3,12,360,8.0,1226.65,742,50,13347.89,9.19
24,2024-04-18 22:59:32.226633,Empréstimo Consignado,4273.56,12,360,16.28601410916982,388.32,595,52,3664.31,10.6
